system:index,counts,keys,geometry
0,"[54711.0, 662.0, 241.0, 47.0]","[0.0, 1.0, 2.0, 3.0]",null
1,"[56861.0, 926.0, 362.0, 130.0]","[0.0, 1.0, 2.0, 3.0]",null
2,"[56017.0, 751.0, 246.0, 57.0]","[0.0, 1.0, 2.0, 3.0]",null
3,"[56065.0, 1041.0, 347.0, 37.0]","[0.0, 1.0, 2.0, 3.0]",null
4,"[58575.0, 411.0, 133.0, 6.0]","[0.0, 1.0, 2.0, 3.0]",null
5,"[58737.0, 884.0, 345.0, 95.0]","[0.0, 1.0, 2.0, 3.0]",null
6,"[56196.0, 1124.0, 231.0, 130.0]","[0.0, 1.0, 2.0, 3.0]",null
7,"[53840.0, 300.0, 315.0, 16.0]","[0.0, 1.0, 2.0, 3.0]",null
8,"[57473.0, 1519.0, 457.0, 57.0]","[0.0, 1.0, 2.0, 3.0]",null
9,"[56690.0, 673.0, 115.0, 55.0]","[0.0, 1.0, 2.0, 3.0]",null
10,"[55011.0, 965.0, 268.0, 25.0]","[0.0, 1.0, 2.0, 3.0]",null
11,"[56069.0, 1246.0, 227.0, 25.0]","[0.0, 1.0, 2.0, 3.0]",null
12,"[55949.0, 1379.0, 409.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
13,"[60131.0, 758.0, 339.0, 52.0]","[0.0, 1.0, 2.0, 3.0]",null
14,"[58856.0, 729.0, 501.0, 98.0]","[0.0, 1.0, 2.0, 3.0]",null
15,"[56630.0, 886.0, 276.0, 101.0]","[0.0, 1.0, 2.0, 3.0]",null
16,"[57498.0, 991.0, 111.0, 45.0]","[0.0, 1.0, 2.0, 3.0]",null
17,"[56306.0, 903.0, 508.0, 7.0]","[0.0, 1.0, 2.0, 3.0]",null
18,"[55011.0, 1274.0, 246.0, 14.0]","[0.0, 1.0, 2.0, 3.0]",null
19,"[56747.0, 1052.0, 314.0, 62.0]","[0.0, 1.0, 2.0, 3.0]",null
20,"[60108.0, 1171.0, 115.0, 176.0]","[0.0, 1.0, 2.0, 3.0]",null
21,"[55574.0, 500.0, 88.0, 25.0]","[0.0, 1.0, 2.0, 3.0]",null
22,"[54916.0, 663.0, 302.0, 76.0]","[0.0, 1.0, 2.0, 3.0]",null
23,"[57901.0, 1030.0, 122.0, 27.0]","[0.0, 1.0, 2.0, 3.0]",null
24,"[56501.0, 1158.0, 110.0, 168.0]","[0.0, 1.0, 2.0, 3.0]",null
25,"[56962.0, 638.0, 271.0, 14.0]","[0.0, 1.0, 2.0, 3.0]",null
26,"[56886.0, 884.0, 305.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
27,"[56997.0, 983.0, 136.0, 18.0]","[0.0, 1.0, 2.0, 3.0]",null
28,"[55584.0, 896.0, 201.0, 9.0]","[0.0, 1.0, 2.0, 3.0]",null
29,"[55171.0, 1473.0, 152.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
30,"[54684.0, 1220.0, 336.0, 64.0]","[0.0, 1.0, 2.0, 3.0]",null
31,"[57291.0, 1332.0, 345.0, 136.0]","[0.0, 1.0, 2.0, 3.0]",null
32,"[56188.0, 496.0, 98.0, 132.0]","[0.0, 1.0, 2.0, 3.0]",null
33,"[56896.0, 773.0, 384.0, 158.0]","[0.0, 1.0, 2.0, 3.0]",null
34,"[58176.0, 682.0, 331.0, 13.0]","[0.0, 1.0, 2.0, 3.0]",null
35,"[56749.0, 1224.0, 248.0, 107.0]","[0.0, 1.0, 2.0, 3.0]",null
36,"[60647.0, 775.0, 138.0, 172.0]","[0.0, 1.0, 2.0, 3.0]",null
37,"[56179.0, 811.0, 105.0, 81.0]","[0.0, 1.0, 2.0, 3.0]",null
38,"[58298.0, 869.0, 230.0, 12.0]","[0.0, 1.0, 2.0, 3.0]",null
39,"[54869.0, 657.0, 196.0, 36.0]","[0.0, 1.0, 2.0, 3.0]",null
40,"[58061.0, 1428.0, 263.0, 33.0]","[0.0, 1.0, 2.0, 3.0]",null
41,"[57636.0, 1296.0, 168.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
42,"[56535.0, 677.0, 97.0, 13.0]","[0.0, 1.0, 2.0, 3.0]",null
43,"[56636.0, 464.0, 143.0, 39.0]","[0.0, 1.0, 2.0, 3.0]",null
44,"[59499.0, 1097.0, 208.0, 9.0]","[0.0, 1.0, 2.0, 3.0]",null
45,"[56810.0, 739.0, 327.0, 91.0]","[0.0, 1.0, 2.0, 3.0]",null
46,"[56653.0, 659.0, 234.0, 25.0]","[0.0, 1.0, 2.0, 3.0]",null
47,"[58355.0, 623.0, 89.0, 35.0]","[0.0, 1.0, 2.0, 3.0]",null
48,"[56467.0, 522.0, 72.0]","[0.0, 1.0, 2.0]",null
49,"[54799.0, 951.0, 147.0, 20.0]","[0.0, 1.0, 2.0, 3.0]",null
