system:index,counts,keys,geometry
1,"[56067.0, 843.0, 41.0, 13.0]","[0.0, 1.0, 2.0, 3.0]",null
2,"[55451.0, 1305.0, 459.0, 37.0]","[0.0, 1.0, 2.0, 3.0]",null
3,"[56857.0, 358.0, 159.0, 25.0]","[0.0, 1.0, 2.0, 3.0]",null
4,"[57749.0, 1006.0, 182.0, 6.0]","[0.0, 1.0, 2.0, 3.0]",null
5,"[54815.0, 884.0, 270.0, 5.0]","[0.0, 1.0, 2.0, 3.0]",null
6,"[55580.0, 753.0, 340.0, 124.0]","[0.0, 1.0, 2.0, 3.0]",null
7,"[54750.0, 1242.0, 417.0, 18.0]","[0.0, 1.0, 2.0, 3.0]",null
8,"[58147.0, 985.0, 111.0, 27.0]","[0.0, 1.0, 2.0, 3.0]",null
9,"[60559.0, 901.0, 432.0, 43.0]","[0.0, 1.0, 2.0, 3.0]",null
10,"[54786.0, 1013.0, 850.0, 180.0]","[0.0, 1.0, 2.0, 3.0]",null
11,"[55344.0, 809.0, 315.0, 7.0]","[0.0, 1.0, 2.0, 3.0]",null
12,"[53480.0, 941.0, 274.0, 6.0]","[0.0, 1.0, 2.0, 3.0]",null
13,"[56962.0, 1563.0, 167.0, 58.0]","[0.0, 1.0, 2.0, 3.0]",null
14,"[56900.0, 1185.0, 68.0, 30.0]","[0.0, 1.0, 2.0, 3.0]",null
15,"[55930.0, 649.0, 268.0, 304.0]","[0.0, 1.0, 2.0, 3.0]",null
16,"[54808.0, 1201.0, 291.0, 25.0]","[0.0, 1.0, 2.0, 3.0]",null
17,"[52233.0, 1283.0, 454.0, 120.0]","[0.0, 1.0, 2.0, 3.0]",null
18,"[51561.0, 335.0, 309.0, 131.0]","[0.0, 1.0, 2.0, 3.0]",null
19,"[55710.0, 796.0, 198.0, 2.0]","[0.0, 1.0, 2.0, 3.0]",null
20,"[55362.0, 731.0, 118.0, 30.0]","[0.0, 1.0, 2.0, 3.0]",null
21,"[56785.0, 753.0, 194.0, 14.0]","[0.0, 1.0, 2.0, 3.0]",null
22,"[58372.0, 681.0, 303.0, 51.0]","[0.0, 1.0, 2.0, 3.0]",null
23,"[53395.0, 810.0, 511.0, 129.0]","[0.0, 1.0, 2.0, 3.0]",null
24,"[54886.0, 479.0, 156.0, 37.0]","[0.0, 1.0, 2.0, 3.0]",null
25,"[58074.0, 599.0, 187.0, 28.0]","[0.0, 1.0, 2.0, 3.0]",null
26,"[56819.0, 903.0, 449.0, 17.0]","[0.0, 1.0, 2.0, 3.0]",null
27,"[59663.0, 591.0, 233.0, 43.0]","[0.0, 1.0, 2.0, 3.0]",null
28,"[54612.0, 1179.0, 408.0, 168.0]","[0.0, 1.0, 2.0, 3.0]",null
29,"[57333.0, 1368.0, 474.0, 26.0]","[0.0, 1.0, 2.0, 3.0]",null
30,"[57948.0, 896.0, 422.0, 33.0]","[0.0, 1.0, 2.0, 3.0]",null
31,"[53827.0, 1514.0, 78.0]","[0.0, 1.0, 2.0]",null
32,"[57871.0, 911.0, 418.0, 36.0]","[0.0, 1.0, 2.0, 3.0]",null
33,"[56928.0, 1171.0, 216.0, 14.0]","[0.0, 1.0, 2.0, 3.0]",null
34,"[53246.0, 904.0, 748.0, 10.0]","[0.0, 1.0, 2.0, 3.0]",null
35,"[56149.0, 616.0, 241.0, 23.0]","[0.0, 1.0, 2.0, 3.0]",null
36,"[56405.0, 529.0, 244.0, 55.0]","[0.0, 1.0, 2.0, 3.0]",null
37,"[56261.0, 482.0, 183.0, 99.0]","[0.0, 1.0, 2.0, 3.0]",null
38,"[55841.0, 346.0, 181.0, 5.0]","[0.0, 1.0, 2.0, 3.0]",null
39,"[57456.0, 1009.0, 371.0, 7.0]","[0.0, 1.0, 2.0, 3.0]",null
40,"[55639.0, 514.0, 70.0, 2.0]","[0.0, 1.0, 2.0, 3.0]",null
41,"[56086.0, 956.0, 523.0, 61.0]","[0.0, 1.0, 2.0, 3.0]",null
42,"[58040.0, 401.0, 258.0, 24.0]","[0.0, 1.0, 2.0, 3.0]",null
43,"[55712.0, 869.0, 126.0, 26.0]","[0.0, 1.0, 2.0, 3.0]",null
44,"[55848.0, 851.0, 289.0, 1.0]","[0.0, 1.0, 2.0, 3.0]",null
45,"[58012.0, 778.0, 279.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
46,"[54873.0, 624.0, 194.0, 41.0]","[0.0, 1.0, 2.0, 3.0]",null
47,"[60304.0, 486.0, 390.0, 32.0]","[0.0, 1.0, 2.0, 3.0]",null
48,"[58350.0, 776.0, 240.0, 60.0]","[0.0, 1.0, 2.0, 3.0]",null
49,"[56791.0, 580.0, 388.0, 26.0]","[0.0, 1.0, 2.0, 3.0]",null
50,"[57686.0, 1273.0, 130.0, 6.0]","[0.0, 1.0, 2.0, 3.0]",null
