system:index,counts,keys,geometry
0,"[54213.0, 941.0, 148.0, 67.0]","[0.0, 1.0, 2.0, 3.0]",null
1,"[53720.0, 923.0, 291.0, 41.0]","[0.0, 1.0, 2.0, 3.0]",null
2,"[60632.0, 641.0, 372.0, 16.0]","[0.0, 1.0, 2.0, 3.0]",null
3,"[56625.0, 623.0, 397.0, 31.0]","[0.0, 1.0, 2.0, 3.0]",null
4,"[57997.0, 542.0, 231.0, 11.0]","[0.0, 1.0, 2.0, 3.0]",null
5,"[58497.0, 935.0, 726.0, 123.0]","[0.0, 1.0, 2.0, 3.0]",null
6,"[54025.0, 872.0, 272.0, 130.0]","[0.0, 1.0, 2.0, 3.0]",null
7,"[54057.0, 1600.0, 521.0, 216.0]","[0.0, 1.0, 2.0, 3.0]",null
8,"[54764.0, 1088.0, 457.0, 29.0]","[0.0, 1.0, 2.0, 3.0]",null
9,"[52995.0, 1307.0, 389.0, 71.0]","[0.0, 1.0, 2.0, 3.0]",null
10,"[54856.0, 538.0, 764.0, 73.0]","[0.0, 1.0, 2.0, 3.0]",null
11,"[59333.0, 639.0, 110.0, 74.0]","[0.0, 1.0, 2.0, 3.0]",null
12,"[56795.0, 937.0, 420.0, 47.0]","[0.0, 1.0, 2.0, 3.0]",null
13,"[58408.0, 965.0, 485.0, 68.0]","[0.0, 1.0, 2.0, 3.0]",null
14,"[57180.0, 625.0, 433.0, 75.0]","[0.0, 1.0, 2.0, 3.0]",null
15,"[55685.0, 1128.0, 124.0, 16.0]","[0.0, 1.0, 2.0, 3.0]",null
16,"[59008.0, 1259.0, 398.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
17,"[55756.0, 1167.0, 226.0, 48.0]","[0.0, 1.0, 2.0, 3.0]",null
18,"[58108.0, 953.0, 259.0, 66.0]","[0.0, 1.0, 2.0, 3.0]",null
19,"[56448.0, 831.0, 434.0, 80.0]","[0.0, 1.0, 2.0, 3.0]",null
20,"[55091.0, 798.0, 565.0, 53.0]","[0.0, 1.0, 2.0, 3.0]",null
21,"[57749.0, 976.0, 258.0, 112.0]","[0.0, 1.0, 2.0, 3.0]",null
22,"[57515.0, 1098.0, 238.0, 139.0]","[0.0, 1.0, 2.0, 3.0]",null
23,"[55062.0, 655.0, 221.0, 205.0]","[0.0, 1.0, 2.0, 3.0]",null
24,"[55591.0, 1497.0, 140.0, 77.0]","[0.0, 1.0, 2.0, 3.0]",null
25,"[54672.0, 562.0, 129.0, 5.0]","[0.0, 1.0, 2.0, 3.0]",null
26,"[57242.0, 907.0, 114.0, 143.0]","[0.0, 1.0, 2.0, 3.0]",null
27,"[55452.0, 1224.0, 273.0, 176.0]","[0.0, 1.0, 2.0, 3.0]",null
28,"[56631.0, 1023.0, 218.0, 189.0]","[0.0, 1.0, 2.0, 3.0]",null
29,"[56659.0, 1123.0, 102.0, 23.0]","[0.0, 1.0, 2.0, 3.0]",null
30,"[56085.0, 1018.0, 133.0, 9.0]","[0.0, 1.0, 2.0, 3.0]",null
31,"[55816.0, 972.0, 110.0, 20.0]","[0.0, 1.0, 2.0, 3.0]",null
32,"[60186.0, 409.0, 208.0, 117.0]","[0.0, 1.0, 2.0, 3.0]",null
33,"[55721.0, 1087.0, 133.0, 150.0]","[0.0, 1.0, 2.0, 3.0]",null
34,"[56000.0, 716.0, 95.0, 12.0]","[0.0, 1.0, 2.0, 3.0]",null
35,"[55500.0, 750.0, 257.0, 22.0]","[0.0, 1.0, 2.0, 3.0]",null
36,"[58266.0, 867.0, 183.0, 44.0]","[0.0, 1.0, 2.0, 3.0]",null
37,"[59532.0, 584.0, 182.0, 11.0]","[0.0, 1.0, 2.0, 3.0]",null
38,"[56545.0, 856.0, 245.0, 61.0]","[0.0, 1.0, 2.0, 3.0]",null
39,"[56186.0, 1107.0, 310.0, 197.0]","[0.0, 1.0, 2.0, 3.0]",null
40,"[53143.0, 1161.0, 380.0, 111.0]","[0.0, 1.0, 2.0, 3.0]",null
41,"[55636.0, 622.0, 241.0, 43.0]","[0.0, 1.0, 2.0, 3.0]",null
42,"[55636.0, 956.0, 222.0, 33.0]","[0.0, 1.0, 2.0, 3.0]",null
43,"[56564.0, 656.0, 159.0, 65.0]","[0.0, 1.0, 2.0, 3.0]",null
44,"[56848.0, 505.0, 210.0, 70.0]","[0.0, 1.0, 2.0, 3.0]",null
45,"[55072.0, 1223.0, 148.0, 362.0]","[0.0, 1.0, 2.0, 3.0]",null
46,"[54491.0, 626.0, 308.0, 73.0]","[0.0, 1.0, 2.0, 3.0]",null
47,"[56279.0, 654.0, 274.0, 59.0]","[0.0, 1.0, 2.0, 3.0]",null
48,"[60691.0, 740.0, 311.0, 9.0]","[0.0, 1.0, 2.0, 3.0]",null
49,"[57152.0, 633.0, 203.0, 106.0]","[0.0, 1.0, 2.0, 3.0]",null
