system:index,counts,keys,geometry
0,"[57220.0, 177.0, 87.0, 20.0]","[0.0, 1.0, 2.0, 3.0]",null
1,"[57860.0, 450.0, 328.0, 9.0]","[0.0, 1.0, 2.0, 3.0]",null
2,"[53411.0, 1033.0, 153.0, 84.0]","[0.0, 1.0, 2.0, 3.0]",null
3,"[54977.0, 790.0, 514.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
4,"[58429.0, 513.0, 425.0, 2.0]","[0.0, 1.0, 2.0, 3.0]",null
5,"[54266.0, 1189.0, 277.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
6,"[55370.0, 866.0, 281.0, 5.0]","[0.0, 1.0, 2.0, 3.0]",null
7,"[57736.0, 1065.0, 121.0, 23.0]","[0.0, 1.0, 2.0, 3.0]",null
8,"[56544.0, 926.0, 99.0, 14.0]","[0.0, 1.0, 2.0, 3.0]",null
9,"[58425.0, 853.0, 239.0, 19.0]","[0.0, 1.0, 2.0, 3.0]",null
10,"[57188.0, 743.0, 272.0, 4.0]","[0.0, 1.0, 2.0, 3.0]",null
11,"[59299.0, 643.0, 134.0, 103.0]","[0.0, 1.0, 2.0, 3.0]",null
12,"[51992.0, 594.0, 239.0, 5.0]","[0.0, 1.0, 2.0, 3.0]",null
13,"[56410.0, 814.0, 161.0, 104.0]","[0.0, 1.0, 2.0, 3.0]",null
14,"[55516.0, 672.0, 300.0, 21.0]","[0.0, 1.0, 2.0, 3.0]",null
15,"[56095.0, 1109.0, 336.0, 12.0]","[0.0, 1.0, 2.0, 3.0]",null
16,"[56092.0, 1480.0, 164.0, 56.0]","[0.0, 1.0, 2.0, 3.0]",null
17,"[56071.0, 978.0, 351.0, 133.0]","[0.0, 1.0, 2.0, 3.0]",null
18,"[58598.0, 590.0, 79.0, 3.0]","[0.0, 1.0, 2.0, 3.0]",null
19,"[56132.0, 665.0, 355.0, 19.0]","[0.0, 1.0, 2.0, 3.0]",null
20,"[57129.0, 319.0, 204.0, 38.0]","[0.0, 1.0, 2.0, 3.0]",null
21,"[55247.0, 702.0, 159.0, 101.0]","[0.0, 1.0, 2.0, 3.0]",null
22,"[55701.0, 828.0, 110.0, 10.0]","[0.0, 1.0, 2.0, 3.0]",null
23,"[54607.0, 864.0, 290.0, 141.0]","[0.0, 1.0, 2.0, 3.0]",null
24,"[58582.0, 1150.0, 296.0, 9.0]","[0.0, 1.0, 2.0, 3.0]",null
25,"[55661.0, 1307.0, 268.0, 193.0]","[0.0, 1.0, 2.0, 3.0]",null
26,"[57405.0, 989.0, 413.0, 18.0]","[0.0, 1.0, 2.0, 3.0]",null
27,"[55481.0, 1008.0, 373.0, 46.0]","[0.0, 1.0, 2.0, 3.0]",null
28,"[58024.0, 792.0, 570.0, 168.0]","[0.0, 1.0, 2.0, 3.0]",null
29,"[53850.0, 1131.0, 152.0, 17.0]","[0.0, 1.0, 2.0, 3.0]",null
30,"[59958.0, 598.0, 370.0, 57.0]","[0.0, 1.0, 2.0, 3.0]",null
31,"[57725.0, 975.0, 167.0, 34.0]","[0.0, 1.0, 2.0, 3.0]",null
32,"[52801.0, 723.0, 386.0, 53.0]","[0.0, 1.0, 2.0, 3.0]",null
33,"[55280.0, 1137.0, 122.0, 46.0]","[0.0, 1.0, 2.0, 3.0]",null
34,"[55969.0, 1112.0, 215.0, 130.0]","[0.0, 1.0, 2.0, 3.0]",null
35,"[55778.0, 711.0, 293.0, 22.0]","[0.0, 1.0, 2.0, 3.0]",null
36,"[52721.0, 605.0, 224.0, 12.0]","[0.0, 1.0, 2.0, 3.0]",null
37,"[55820.0, 1150.0, 268.0, 205.0]","[0.0, 1.0, 2.0, 3.0]",null
38,"[55134.0, 1107.0, 52.0, 8.0]","[0.0, 1.0, 2.0, 3.0]",null
39,"[56027.0, 1161.0, 201.0, 72.0]","[0.0, 1.0, 2.0, 3.0]",null
40,"[57945.0, 1408.0, 484.0, 201.0]","[0.0, 1.0, 2.0, 3.0]",null
41,"[55855.0, 674.0, 140.0, 32.0]","[0.0, 1.0, 2.0, 3.0]",null
42,"[54633.0, 1129.0, 477.0, 60.0]","[0.0, 1.0, 2.0, 3.0]",null
43,"[54848.0, 814.0, 308.0, 10.0]","[0.0, 1.0, 2.0, 3.0]",null
44,"[56333.0, 860.0, 211.0, 16.0]","[0.0, 1.0, 2.0, 3.0]",null
45,"[56012.0, 1054.0, 418.0, 9.0]","[0.0, 1.0, 2.0, 3.0]",null
46,"[57006.0, 838.0, 340.0, 28.0]","[0.0, 1.0, 2.0, 3.0]",null
47,"[56581.0, 758.0, 226.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
48,"[59979.0, 743.0, 436.0, 19.0]","[0.0, 1.0, 2.0, 3.0]",null
49,"[55327.0, 748.0, 279.0, 49.0]","[0.0, 1.0, 2.0, 3.0]",null
